metric,measure,k_fold_i,"smcdc__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","vib_spindle__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",vib_spindle__partial_autocorrelation__lag_6,"vib_spindle__fft_coefficient__attr_""abs""__coeff_58","vib_table__fft_aggregated__aggtype_""kurtosis""","smcdc__fft_coefficient__attr_""abs""__coeff_33",smcac__number_peaks__n_3,vib_spindle__quantile__q_0.8,"smcdc__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",vib_spindle__autocorrelation__lag_5
accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,0,0.0020916009766372384,0.020742892874031714,0.072351598161891,0.0031221967833286826,0.08617760823491342,0.00123591787667758,0.23333461526038757,0.13165392774846651,0.07348306978986692,0.005990014878981842
average_precision,std,0,0.01176739932591501,0.005091262334916263,0.00994156352475044,0.0039344664408251006,0.012303648187671934,0.006238171482068376,0.017624958327350622,0.0103080721971378,0.0037739204424938654,0.0049263902836864
balanced_accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,1,0.0006826434277414251,0.0015105301379810883,-0.0034567901234568246,0.0006100217864923282,-0.0006390704429920513,0.0006826434277414251,0.0016267247639796293,0.0015831517792301742,0.01744371822803191,0.0008278867102396115
accuracy,std,1,0.0004731008707306308,0.00031286360535275976,0.0014837580582857924,0.0003299293156601331,0.0008622118855282907,0.0004731008707306308,0.00022312696435347452,0.00026344745311861765,0.003263581329422598,0.0006593789085151006
f1,mean,1,0.02012171472938701,0.0449071572818318,-0.11505315631648314,0.017920468143952453,-0.0180664805920907,0.02012171472938701,0.048421852343079254,0.04710315825687036,-0.17647980764665225,0.024528261533366826
f1,std,1,0.014066187881823677,0.009439111572366297,0.033390298371370565,0.00976093839945001,0.024466410350567257,0.014066187881823677,0.006762848706771594,0.007976774661383928,0.029623547087173987,0.019462867323044027
average_precision,mean,1,0.17832332340906323,0.028615855900146488,0.17574229425922858,0.003327861358342732,0.08802162706100784,0.05035114787736601,0.44392703606582873,0.287524382820746,0.35430594097326334,0.031599175276332124
average_precision,std,1,0.024912872403939565,0.0069793873332416705,0.018272608336474924,0.0019032074448909358,0.01091111715591731,0.010230002257160673,0.026883023975679286,0.03127466248971395,0.026145675982649302,0.0075835536000027565
balanced_accuracy,mean,1,0.005222222222222187,0.011555555555555541,-0.03254156954156956,0.004666666666666626,-0.004888888888888928,0.005222222222222187,0.012444444444444425,0.012111111111111092,-0.06383372183372187,0.006333333333333302
balanced_accuracy,std,1,0.003619221661089401,0.002393406580948664,0.010202422867477204,0.002523959264800111,0.006595920924291472,0.003619221661089401,0.0017069212773041303,0.0020153730163574497,0.013300962565093898,0.005044248650140525
accuracy,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,2,0.07273569650734693,0.004874589397445842,0.1477780057260455,0.0010000565206601678,0.16404770960034995,0.06626599119247314,0.6427114890267499,0.07246591092058795,0.042821019334312545,0.01656696567056038
average_precision,std,2,0.019466469104600818,0.0026060357622661417,0.03137820413885029,0.0008982546498171368,0.03448228733548861,0.017865558267673512,0.04892087902224868,0.022014008535057222,0.01349451377465504,0.008784864401493236
balanced_accuracy,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,3,0.06605176385452942,0.0006264569914805507,0.06450223693792037,-0.0004474624200239437,0.05959871060070513,0.006133684970695064,0.10765987533407508,0.007144607049160423,0.00820965420698829,-0.012424065792410314
average_precision,std,3,0.010944645743491601,0.0009665892694130343,0.008653085382720816,0.0003785596772766162,0.007731084943393644,0.0030300631879378766,0.010740266995238525,0.0016122918856484375,0.0019386060419234643,0.0018166211748220401
balanced_accuracy,mean,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,4,0.03490248515610035,0.005545340509221996,0.07053974315790779,-0.0016723037188027812,0.03924644721217866,0.009665612481852789,0.40019903427731773,0.036486646753926474,0.013370975620847788,0.06419790846629558
average_precision,std,4,0.01147388132715631,0.003105858262962625,0.016815855835956746,0.0010980608974765745,0.01072488599501259,0.005524421829200057,0.023928997644086944,0.007594445450051958,0.003985372504629522,0.017593981247207874
balanced_accuracy,mean,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,5,0.0046396023198011175,0.0021541010770505186,0.004860535763601174,-0.0014360673847003459,-2.761668047500665e-05,0.004418668876001064,0.008008837337752024,0.004418668876001064,-0.014415907207953601,0.0013532173432753258
accuracy,std,5,0.001491300745650359,0.0012941590183772299,0.001063869664968694,0.0011506581969621356,0.0021549860452802234,0.0012894357945240147,0.0008645388479701084,0.000988044397680097,0.0022086439130773014,0.0019428094268943825
f1,mean,5,0.17700757481047058,0.0783201219143044,0.18530245968676956,-0.04688865133214593,0.0022821739843991587,0.16735169196286204,0.2936372269705603,0.16675054339900416,-0.39498034403065535,0.047726008091985045
f1,std,5,0.0607212682210369,0.0484117214048726,0.044966258083327194,0.03750384147720471,0.07457108539892199,0.05264899032718629,0.014229494553065375,0.04112904625922367,0.04225606123824004,0.06863840689043312
average_precision,mean,5,0.20054342616747728,0.0024262549593903207,0.0566419986604549,-0.000987219411845508,0.13303136317352632,0.11267727406735698,0.8121750381776054,0.037507069783319864,0.07933893108271226,0.033750295172711865
average_precision,std,5,0.036055017351128066,0.0028627882075638413,0.014031764356477624,0.0014719958580110212,0.03165544342095579,0.03514103479941388,0.029227800232583003,0.012522763778625757,0.02027960829625492,0.018800267524104138
balanced_accuracy,mean,5,0.05490196078431374,0.025490196078431396,0.057516339869281057,-0.01699346405228758,-0.00032679738562089907,0.052287581699346414,0.08696174548250676,0.05228758169934642,-0.18745674740484425,0.015075932333717812
balanced_accuracy,std,5,0.017647058823529408,0.015314215050797341,0.012589124368796225,0.013616121997385414,0.025500668202482885,0.015258323568534314,0.003756697779787349,0.011691858705881263,0.025661219246657183,0.022747578181678343
accuracy,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,6,0.15907830459914366,0.0007073517003946428,0.35604401975467476,0.007595422520222517,0.16876074770814464,0.08736361531864541,0.41282839699748436,0.09362045995767228,0.011176234635685227,-0.019567660779192905
average_precision,std,6,0.020273393895109768,0.009102985295110572,0.017893643880310034,0.005337215849614108,0.03305943423266708,0.016785410319104768,0.03455499253427593,0.022470309037582677,0.013693598960148639,0.025884493956969606
balanced_accuracy,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
