metric,measure,k_fold_i,"current__fft_coefficient__attr_""angle""__coeff_39","current__fft_coefficient__attr_""imag""__coeff_26","current__fft_coefficient__attr_""angle""__coeff_26","current__fft_coefficient__attr_""real""__coeff_42","current__fft_coefficient__attr_""imag""__coeff_36","current__fft_coefficient__attr_""abs""__coeff_33","current__fft_coefficient__attr_""abs""__coeff_2","current__fft_coefficient__attr_""abs""__coeff_19","current__fft_coefficient__attr_""angle""__coeff_13","current__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
accuracy,mean,0,0.0212099873837397,0.0288061496933955,0.0235190564210897,0.00743479153830351,0.00144646891412137,0.000798051814687643,0.0589472757679781,0.0139923128832555,0.0395329049672857,0.00613208931138688
accuracy,std,0,0.00117795821681852,0.00178357165662768,0.00108194725994738,0.000781263533625596,0.000874222946621293,0.0007574985564935,0.00205085061836196,0.000978435391077264,0.00153834135400884,0.000651324680363186
f1,mean,0,0.186240564858747,0.255052554890575,0.19456442938998,0.107109305275195,0.0451965243757407,0.047130872758282,0.532364723776154,0.242844423362818,0.32364337507503,0.0841546450087887
f1,std,0,0.00968844562900396,0.0136266317884847,0.00828053297252046,0.00948180715627347,0.0107424609310014,0.00954481331021123,0.0152654304325578,0.012620612345975,0.00859676330444011,0.00756905705253808
average_precision,mean,0,0.315699631650622,0.438027581970884,0.263355602809182,0.259803614207694,0.196945945293747,0.218636740163254,0.811867932119996,0.481179346792732,0.537626725398182,0.187150086354716
average_precision,std,0,0.0204089723633275,0.0215653274230025,0.0143986040580446,0.0154494342495276,0.0162391806735187,0.0140364448627709,0.0191399491652522,0.0163643111963705,0.0207381962517644,0.0115916511221305
balanced_accuracy,mean,0,0.065187096384815,0.11432655360412,0.0578419538495584,0.0862195465427405,0.0680794455509284,0.0832177560504557,0.349412859355825,0.206940772929366,0.151300420463919,0.0642695193835878
balanced_accuracy,std,0,0.00711009541556413,0.0103909074475419,0.00758451227078659,0.00793886068044933,0.00790391439879703,0.00737370719858466,0.0146999571373537,0.00849551893036333,0.0080450222591219,0.00619005070724158
accuracy,mean,1,0.0114346214928534,0.0183972371373113,0.0218961909803625,0.0117068743855404,0.00562655978219771,0.00800877259320884,0.0452696059895637,0.0247977009755729,0.0444478055912678,0.00757266379288618
accuracy,std,1,0.000827379932062062,0.000978457493414656,0.0010427467106946,0.000800443549183306,0.000693561876085295,0.000862123103700516,0.00169291476339672,0.00108532030755605,0.00117076516792207,0.000672101208720554
f1,mean,1,0.147726759611302,0.24094098025739,0.247310423197013,0.157427943339625,0.0914309814913612,0.155973202662208,0.618155346975807,0.389723711018276,0.416137138583273,0.12546319117927
f1,std,1,0.0102564053835645,0.0114364834178901,0.0112421372280925,0.00947769455535032,0.00989846639248846,0.0157140565918978,0.0155470738033908,0.0155156605079857,0.0109074115501593,0.00943752847521069
average_precision,mean,1,0.198841644282056,0.315524921295908,0.305064198397396,0.204003916671674,0.176760703799328,0.281651765662708,0.856293517645143,0.509910614108414,0.564422122544413,0.184407251206413
average_precision,std,1,0.0118157769579217,0.0139638638438128,0.0176067841864431,0.0125699566765266,0.0157791064413279,0.0197358752564247,0.0153536932814536,0.0233248672045358,0.0243344054917466,0.0106295295843565
balanced_accuracy,mean,1,0.0703352393055587,0.129988443215338,0.101832521857428,0.0836220727946027,0.0706129539701137,0.139778010543111,0.384818537003471,0.255748405307841,0.179429025742847,0.0968927382302789
balanced_accuracy,std,1,0.00760357724422467,0.00910053060070096,0.0087833963178913,0.00607861914512714,0.00729122020757667,0.0117908829272742,0.0107977962537305,0.0101981051768188,0.0104376463837568,0.00686510492524832
accuracy,mean,2,0.0238337754199823,0.0285764809902741,0.0347656940760389,0.018839964633068,0.0138213969938108,0.0182705570291777,0.0651741821396994,0.0395013262599469,0.0748010610079575,0.0147586206896551
accuracy,std,2,0.00123535938870517,0.00135275625102777,0.00143041642496432,0.00130714668464546,0.000989237805638964,0.00143095847789187,0.00192876603933434,0.00185077219423129,0.00198231574530429,0.000810057166965576
f1,mean,2,0.192531713976459,0.252197245177266,0.261157312647364,0.176250116944563,0.13770523674417,0.180034891316654,0.622270973983155,0.382038205667347,0.460933768434498,0.147145799868577
f1,std,2,0.00899764659274982,0.0104234575027566,0.0100486991110666,0.0109500915413594,0.0095751157275857,0.0140251102878825,0.0147066835879204,0.0151452341823203,0.0119495518890023,0.00926000655116762
average_precision,mean,2,0.172311458709769,0.266607160319675,0.204717074220442,0.182741187813032,0.188481628875295,0.208794370301285,0.719533322438848,0.443759475879455,0.547481902725877,0.153971678152129
average_precision,std,2,0.0097756557266719,0.0142052185217186,0.0125140087190111,0.00895558604474637,0.0103474123710462,0.014867852261628,0.0196940922891151,0.0150388293204059,0.016725082550922,0.0128788621306774
balanced_accuracy,mean,2,0.0600594430152842,0.119048480852842,0.0801803542881274,0.0892937506194226,0.0815713725540892,0.103647439792133,0.35800214158598,0.217445027599312,0.169026591000168,0.0871186188709491
balanced_accuracy,std,2,0.0063099702143772,0.00730074020935587,0.007047602575011,0.0061025354908122,0.00647112479224889,0.00967884059331165,0.00908297551403694,0.0100306334837893,0.0106751665841062,0.00817836251253002
accuracy,mean,3,0.0335547253355473,0.022139200221392,0.0218209492182095,0.00857894008578943,0.00711221807112221,0.0139061851390619,0.0673827314238273,0.0278988515289886,0.0618029611180296,0.0117372353673724
accuracy,std,3,0.00115074020496822,0.0015101518369397,0.00113901290312752,0.000796829816927688,0.00106229958310056,0.000941272041318203,0.00214062741315094,0.00155990698584812,0.00131371367941529,0.00116900644993069
f1,mean,3,0.259816669674263,0.262260567212104,0.198529459447081,0.0932407833321201,0.104983697053624,0.179070152910778,0.608641683220132,0.307500338390356,0.406696544166218,0.142941025613246
f1,std,3,0.00915126632338757,0.016977487245866,0.00940383160015563,0.00920810462706565,0.0121703949499755,0.00932982594563743,0.0131753128217396,0.0136792185589371,0.00714135762864454,0.0120964430811219
average_precision,mean,3,0.319143551282658,0.423088439402556,0.283467004244788,0.167640144124046,0.218357517105796,0.311297336700634,0.829255565782377,0.473076443276076,0.573840300617475,0.237292813285095
average_precision,std,3,0.0182481036877652,0.0261500802960728,0.0170414401648582,0.0154540663968842,0.0139864332729544,0.0182394313420237,0.0163183179512862,0.0240850651345449,0.0279985793217983,0.0148198572082288
balanced_accuracy,mean,3,0.0884335649314706,0.174878745569756,0.0849354802287892,0.0522980097981709,0.0963788515926847,0.132707638332383,0.385271102005073,0.193053151910203,0.16550965634802,0.100306331909597
balanced_accuracy,std,3,0.00918016727568294,0.0125531813280455,0.00719683204106232,0.00788150545706268,0.00900732937170193,0.00747353307262519,0.0105574364673029,0.0107881239060189,0.00903463265278388,0.00863802596671044
accuracy,mean,4,0.0188197471328325,0.0221892485084546,0.0169711583047389,0.00766947973662242,0.00168784197347672,0.00348697023091898,0.0511113171968221,0.0209063649571856,0.0515286407616927,0.00875142971962036
accuracy,std,4,0.00123541637246525,0.00147935380321925,0.00103019152940732,0.000795662341789912,0.000970703077668881,0.000844413410571096,0.00173592687239424,0.00172498449029952,0.00177087504074537,0.00102614388380344
f1,mean,4,0.130259566576421,0.285359810136431,0.150220720525062,0.0831926349318436,0.0703441820852519,0.10824217349207,0.513165830910055,0.239489459649273,0.359405247489406,0.105639950029162
f1,std,4,0.00806634402627252,0.0149916624860967,0.00909055130140969,0.00744361751871208,0.0110362966701638,0.0100891564318894,0.017275851657905,0.0147268375123196,0.0109092159008151,0.0110970271042523
average_precision,mean,4,0.220015859106961,0.392758276066558,0.248033005388572,0.173793444207999,0.166848869808672,0.206848677159253,0.640819995500412,0.344766209344379,0.504120974807033,0.187153415136803
average_precision,std,4,0.0133934817790983,0.0186658504580232,0.0123721573816441,0.0102374305870093,0.00964141256285207,0.0122720066980502,0.0120303235734412,0.0155991437976326,0.015426273688161,0.0127570127614478
balanced_accuracy,mean,4,0.0474068407546714,0.184898708850711,0.0805007595748531,0.0546821468431194,0.0799198626776703,0.108427374867849,0.298452027140981,0.151911870762741,0.184041554349142,0.0745005565011853
balanced_accuracy,std,4,0.00564387679556539,0.00863758217225027,0.00625824076709454,0.00506223909027974,0.00690065901056806,0.00645200584810399,0.0100167137552414,0.00825639348999222,0.0080450195093707,0.00764048142786416
